Unnamed: 0,0000000000,Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
10,10,0221705608,P,P,P,P,A,P,P,A,A,A,A,P,A,A,7,50.0,17.5,,,,18,,,,,,,16.5,,17,,,,,,,,,,12.4,,14,,,,,,,,,
11,11,0221276350,P,P,P,P,A,A,A,A,A,A,A,P,A,A,5,35.714285714285715,16.3,,,,20,,,,,,,15,,14,,,,,,,,,,13.3,,14,,,,,,,,,
12,12,022197615E,P,P,A,A,A,A,A,A,A,A,A,P,A,A,3,21.428571428571427,10,,,,19,,,,,11.8,,ABS_EXAM,,13,,,,,,,,,,12.5,,11,,,,,ABS_EXAM,,,,
13,13,0221666404,A,A,A,A,A,P,A,A,A,A,A,A,A,A,1,7.142857142857142,13.6,4,,,19.5,,,,,7,,10,,11,,,,ABS_EXAM,,,,,,8,,9,,,,,,,,,
14,14,0221933134,P,P,P,P,A,P,P,A,A,P,A,A,A,A,7,50.0,,,,,20,,,,,,,,,17,,,,,,,,,,17.6,,15,,,,,,,,,
15,15,0221943339,A,A,P,A,P,P,P,A,P,A,P,P,A,A,7,50.0,17.3,,,,18.5,,,,,,,12,,16,,,,,,,,,,15.8,,15,,,,,,,,,
16,16,022012681F,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,13.6,,,,17.5,,,,,,,12.5,,12,,,,,,,,,,13.3,,12,,,,,,,,,
17,17,0221929813,A,A,A,A,P,P,P,A,P,A,A,A,P,A,5,35.714285714285715,,,,,19.5,,,,,,,ABS_EXAM,,11,,,,,,,,,,8,,10,,,,,,,,,
18,18,0221973140,P,A,P,P,P,P,A,P,P,A,P,A,A,A,8,57.14285714285714,11.8,,,,12.5,,,,,12,,14,,9,,,,,9,,,,,10,,6,,,,,,,,,
19,19,0222056418,A,A,A,P,A,A,P,P,A,A,A,A,A,A,3,21.428571428571427,11.5,,,,15,,,,,7.8,5.6,11,,12,,,,,5.5,,,,6.6,6.2,,6,,,,,3,,,,
20,20,0221081548,P,P,A,A,A,A,A,A,A,A,A,A,A,P,3,21.428571428571427,13.1,,,,8.5,,,,,,14.1,10,,15,,,,,,,,,,12.5,,11,,,,,7,,,,
21,21,0220291820,P,P,P,A,P,A,P,A,A,A,P,P,A,A,7,50.0,13.4,,,,17,,,,,,,13,,14,,,,,,,,,,13.6,,10,,,,,,,,,
22,22,022173540F,P,P,A,P,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,16,,,,17.5,,,,,,,15.5,,13,,,,,,,,,,8,,11,,,,,,,,,
23,23,020074782F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,,,,,,,,6,,6,,,,,,,,,,ABS_EXAM,,13,,,,,,,,,
24,24,020176934D,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,,,,,,,,,,,,,1,ABS_EXAM,,,,,,,,,ABS_EXAM,,,,,,,,,,,
25,25,0221823214,P,P,A,A,A,P,A,P,A,A,A,A,A,A,4,28.57142857142857,11.9,,,,16.5,,,,,,,13,,12,,,,,,,,,,12.1,,14,,,,,,,,,
26,26,0211277704,A,A,P,A,A,A,A,P,A,A,A,A,A,A,2,14.285714285714285,ABS_EXAM,,,,0,,,,,ABS_EXAM,,ABS_EXAM,,7,,,,,,,,,,6.9,,7,,,,,,,,,
27,27,0221986060,P,A,P,A,P,A,P,A,A,A,A,A,P,A,5,35.714285714285715,11.9,,,,3.5,,,,,,,ABS_EXAM,,5,,,,,,,,,,8,,11,,,,,ABS_EXAM,,,,
28,28,022012490C,A,A,A,P,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,12.4,,,,15.5,,,,,,,10.5,,14,,,,,8.5,,,,,12.2,,14,,,,,,,,,
29,29,022041284E,A,P,A,A,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,15.1,,,,19,,,,,,13.8,14.5,,16,,,,,,,,,,8,,12,,,,,,,,,
30,30,022200811A,P,A,P,A,A,A,A,P,A,A,A,A,A,A,3,21.428571428571427,13.7,,,,19.5,,,,,,,11.5,,11,,,,,,,,,,15.1,,15,,,,,,,,,
31,31,0180632649,P,P,A,A,A,A,A,P,A,A,A,A,A,A,3,21.428571428571427,13,,,,16,,,,,,,14,,14,,,,,,,,,,15.4,,13,,,,,,,,,
32,32,022188714D,P,P,A,P,A,A,A,P,A,P,A,A,A,A,5,35.714285714285715,,,,,19.5,,,,,,,,,16,,,,,,,,,,12.3,,12,,,,,,,,,
33,33,022148763B,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,11.6,,,,8.5,,,,,,,ABS_EXAM,,13,,,,,,,,,,10,,9,,,,,,,,,
34,34,0221286252,P,P,P,A,A,P,A,A,P,P,A,P,P,A,8,57.14285714285714,,,,,18.5,,,,,,,,,19,,,,,,,,,,18.3,,18,,,,,,,,,
35,35,022029815F,P,A,P,A,P,P,A,P,A,A,A,P,A,A,6,42.85714285714285,18.6,,,,19.5,,,,,,,20,,20,,,,,,,,,,19.2,,20,,,,,,,,,
36,36,0220224526,P,P,A,P,A,P,P,A,P,A,A,P,A,A,7,50.0,17.4,,,,19,,,,,,,19,,20,,,,,,,,,,17,,20,,,,,,,,,
37,37,0221908904,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,16.2,,,,18.5,,,,,,,16,,11,,,,,,,,,,15,,14,,,,,,,,,
38,38,0221541510,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,10.8,,,,17.5,,,,,,,15,,10,,,,,5,,,,,8,,11,,,,,10,,,,
39,39,0221390035,P,P,P,P,P,P,P,A,A,A,P,A,A,A,8,57.14285714285714,17.2,,,,20,,,,,,,19,,19,,,,,,,,,,17.2,,18,,,,,,,,,
40,40,0211509258,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,,,,16.5,,,,,,,10,,15,,,,,,,,,,7.8,,9,,,,,4,,,15.1,
41,41,022142822F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,14,,,,19.5,,,,,,,12.5,,12,,,,,,,,,,15.5,,12,,,,,,,,,
42,42,0222086421,P,A,P,A,A,P,P,P,A,A,A,A,A,A,5,35.714285714285715,,,,,18.5,,,,,,,,,,,,,,,,,,,16.1,,18,,,,,,,,,
43,43,022112732D,A,A,A,A,A,A,P,A,A,A,A,A,A,A,1,7.142857142857142,11.2,,,,0,,,,,,,10,,15,,,,,,,,,,8,,9,,,,,,,,,
44,44,022191755A,P,A,P,A,A,P,P,P,A,A,A,A,A,A,5,35.714285714285715,14.7,,,,18,,,,,,,15.5,,15,,,,,,,,,,14.9,,13,,,,,,,,,
45,45,0221858451,P,P,A,A,P,A,A,A,A,A,A,A,A,A,3,21.428571428571427,16.2,,,14.0,16.5,,,,,,,13.5,,12,,,,,,,,,,15.5,,18,,,,,,,,,
