Unnamed: 0,0000000000,Student ID,Session 20/09/2023,Session 27/09/2023,Session 04/10/2023,Session 11/10/2023,Session 18/10/2023,Session 25/10/2023,Session 01/11/2023,Session 08/11/2023,Session 15/11/2023,Session 22/11/2023,Session 29/11/2023,Session 06/12/2023,Session 13/12/2023,Session 20/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
28,28,0221081548,A,A,P,P,P,A,A,A,A,A,A,A,P,A,4,28.57142857142857,13.1,,,,8.5,,,,,,14.1,10,,15,,,,,,,,,,12.5,,11,,,,,7,,,,
29,29,022142822F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,14,,,,19.5,,,,,,,12.5,,12,,,,,,,,,,15.5,,12,,,,,,,,,
30,30,0220389426,A,A,A,A,A,A,A,A,P,A,A,A,A,A,1,7.142857142857142,10,,,10.5,,,,,,,,10.5,,10,,,,,10,,,,,7.6,,10,,,,,,,,,
31,31,0221858451,P,A,A,A,A,A,A,A,P,A,A,A,A,P,3,21.428571428571427,16.2,,,14.0,16.5,,,,,,,13.5,,12,,,,,,,,,,15.5,,18,,,,,,,,,
32,32,022158614A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,1,7.142857142857142,12.9,,,,18.5,,,,,,,14.5,,13,,,,,,,,,,8,,12,,,,,6,,,,
33,33,0211277704,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,ABS_EXAM,,,,0,,,,,ABS_EXAM,,ABS_EXAM,,7,,,,,,,,,,6.9,,7,,,,,,,,,
34,34,0220502202,A,A,A,A,A,A,A,A,A,A,A,P,A,A,1,7.142857142857142,7.4,,,,0,,,,,,,8,,6,,,,,,,,,,7.6,,11,,,,,,,,,
35,35,020074782F,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,,,,,,,,,,,6,,6,,,,,,,,,,ABS_EXAM,,13,,,,,,,,,
36,36,0191621038,A,A,A,A,A,A,A,A,A,A,A,A,P,A,1,7.142857142857142,ABS_EXAM_JUST,,,,15.5,,,,,8.3,,ABS_EXAM,,ABS_EXAM,,,ABS_EXAM,,,,,,,ABS_EXAM,,ABS_EXAM_JUST,,,,,ABS_EXAM,,,,
37,37,022148763B,A,A,A,A,A,A,A,A,P,A,A,P,A,A,2,14.285714285714285,11.6,,,,8.5,,,,,,,ABS_EXAM,,13,,,,,,,,,,10,,9,,,,,,,,,
38,38,0221541510,A,P,A,A,A,A,A,A,A,A,A,P,A,A,2,14.285714285714285,10.8,,,,17.5,,,,,,,15,,10,,,,,5,,,,,8,,11,,,,,10,,,,
39,39,0220619006,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,13.4,,,,18,,,,,,11.9,ABS_EXAM,,15,,,,,,,,,,13.1,,9,,,,,11,,,,
40,40,0222086421,P,A,P,P,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,,,,18.5,,,,,,,,,,,,,,,,,,,16.1,,18,,,,,,,,,
41,41,0221286252,P,A,P,A,A,A,A,A,P,A,A,A,A,A,3,21.428571428571427,,,,,18.5,,,,,,,,,19,,,,,,,,,,18.3,,18,,,,,,,,,
42,42,0221929813,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,19.5,,,,,,,ABS_EXAM,,11,,,,,,,,,,8,,10,,,,,,,,,
